label,message
ham,"Hi, how are you?"
spam,"Congratulations! You've won a prize. Click here to claim it."
ham,"Are we still meeting tomorrow?"
spam,"You have been selected for a free gift. Call now."
ham,"Don't forget to bring your notes for the meeting."
spam,"Urgent! Your account has been compromised. Click here to secure it."
ham,"Can we reschedule our appointment to next week?"
spam,"Limited time offer! Get a 50% discount on all items. Buy now!"
ham,"Happy Birthday! Have a wonderful day!"
spam,"You have been selected to win a free vacation. Claim your prize now."
ham,"Let's catch up over coffee sometime."
spam,"Act now! Get rich quick by following these simple steps."
ham,"Please send me the report by tomorrow."
spam,"Your computer is infected with a virus. Click here to remove it."
ham,"Thanks for the update. I appreciate it."
spam,"You have a pending transaction. Click here to complete it."
ham,"Can you help me with this project?"
spam,"Congratulations! You've been pre-approved for a loan. Apply now."
ham,"I'll call you back in a few minutes."
spam,"Win a brand new car by entering this contest."
ham,"Let's have lunch together next week."
spam,"Get free samples of our new product. Click here."
ham,"Your order has been shipped and will arrive soon."
spam,"You are the lucky winner of a $1000 gift card. Claim now."
ham,"I'll send you the details shortly."
spam,"Your subscription is expiring soon. Renew now."
ham,"Can you please review the document and give feedback?"
spam,"Exclusive deal just for you! Click here to learn more."
ham,"Meeting has been postponed to next Monday."
spam,"Your credit card has been approved. Activate it now."
ham,"I'm running late, will be there in 10 minutes."
spam,"You've received a secure message. Click here to view it."
spam,"Limited offer! Buy one get one free on all items."
spam,"You've won a free cruise to the Bahamas! Click here to claim."
spam,"Congratulations! You are our lucky visitor. Click to claim your prize."
spam,"Receive instant cash for surveys. Join now!"
spam,"Unlock your exclusive deal by clicking here."
spam,"Your refund is pending. Click here to complete the process."
spam,"You have won free tickets to the concert. Click here to get them."
spam,"Claim your free gift card now!"
ham, "Are you available at 9pm!"
spam,"You have one new message. Click here to read."
spam,"Congratulations! You have been selected for a prize draw."
spam,"Your package is waiting. Confirm your details here."
spam,"Special offer just for you! Click to redeem."
spam,"Your account has been flagged. Click here to verify your identity."
spam,"Get a free trial of our new product. Click here."
ham, "Seeya in the evening"
spam,"Earn money from home. Sign up here."
spam,"Don't miss out on this limited-time offer. Click here."
spam,"You have a new friend request. Click to view."
spam,"Your subscription is about to expire. Renew now."
spam,"You have a chance to win $5000. Click here to enter."
spam,"Your password will expire soon. Click here to update."
spam,"You have a new voicemail. Click here to listen."
